job_title,job_skills,company,job_location,job_level,job_type,job_title_clean,job_skills_clean
DATA BASE ANALYST III-RESEARCH STUDY,"Data Management, Relational Databases, Data Analytics, Project Management, Quality Control, File Management, Growth Mindset, REDCap Programming, Database Design, Programming, FileRelated Problem Determination, Backup and Restore Procedures, System Efficiency, Attention to Detail, Communication, Accuracy, Adaptability, Critical Thinking, ProblemSolving, Dependability, Multitasking, Time Management, Organization, Prioritization, Computer Science, Engineering, Math, Related Field, Bachelor's Degree, 5 Years of Experience",University of Alabama at Birmingham,"Birmingham, AL",Mid senior,Onsite,data base analyst iii research study,data management relational databases data analytics project management quality control file management growth mindset redcap programming database design programming filerelated problem determination backup and restore procedures system efficiency attention to detail communication accuracy adaptability critical thinking problemsolving dependability multitasking time management organization prioritization computer science engineering math related field bachelor s degree 5 years of experience
Senior Oracle Database Administrator,"Oracle DBA, GoldenGate, Data Guard, Application performance tuning, AWS cloud experience, Shell scripting, Python, Oracle RDS, Oracle on EC2, Cloud migration, Database performance troubleshooting",Mastech Digital,"Durham, NC",Mid senior,Onsite,senior oracle database administrator,oracle dba goldengate data guard application performance tuning aws cloud experience shell scripting python oracle rds oracle on ec2 cloud migration database performance troubleshooting
Lead Data Engineer,"Data Engineering, Data Management, Data Analysis, Cloud Architecture, Programming, Business Intelligence, Data Warehousing, Data Mining, Data Science, ETL/ELT Tools, Apache Kafka, Kubernetes, DevOps, CI/CD, Python, SQL, SQLlike Query Languages, MapReduce, PySpark, Apache Beam, College Tuition Assistance, Career Development, Product Training, Consumer Classes, Bachelor's Degree, Master's Degree, PhD Degree, Verbal Communication, Written Communication, Presentation Communication",Total Wine & More,"Boca Raton, FL",Mid senior,Onsite,lead data engineer,data engineering data management data analysis cloud architecture programming business intelligence data warehousing data mining data science etl elt tools apache kafka kubernetes devops ci cd python sql sqllike query languages mapreduce pyspark apache beam college tuition assistance career development product training consumer classes bachelor s degree master s degree phd degree verbal communication written communication presentation communication
Technical Business Analyst - Data Solutions,"Business Analysis, Data Analytics, Technology Projects, Stakeholder Engagement, Stakeholder Management, Business Analysis Qualification, UK Security Clearance, Power BI, Azure Data Platform, SQLBits, Power Platform World Tour, London Power BI User Group, Newcastle Power BI User Group, Newcastle Data Platform and Cloud User Group",Nigel Frank International,"Cheltenham, England, United Kingdom",Mid senior,Onsite,technical business analyst data solutions,business analysis data analytics technology projects stakeholder engagement stakeholder management business analysis qualification uk security clearance power bi azure data platform sqlbits power platform world tour london power bi user group newcastle power bi user group newcastle data platform and cloud user group
Senior Data Platforms Administrator,"Data Platforms Administrator, Data Services, NoSql, Data Science Tooling, Data Streaming Platforms, Kafka, ElasticSearch, MongoDB, Postgresql, Redis, Infrastructureascode, Automation, Continuous Integration/Continuous Deployment (CI/CD), Container Orchestration Platforms, AKS/Kubernetes, Linux, Bash, Python, Powershell, Ansible, Golang, SQL, Terraform, Microservice Architecture, Restful API’s, Agile, Cloud Environment",C.H. Robinson,"Seattle, WA",Associate,Onsite,senior data platforms administrator,data platforms administrator data services nosql data science tooling data streaming platforms kafka elasticsearch mongodb postgresql redis infrastructureascode automation continuous integration continuous deployment ci cd container orchestration platforms aks kubernetes linux bash python powershell ansible golang sql terraform microservice architecture restful api s agile cloud environment
HR Business Analyst (Data/Payroll),"Data Validation, Microsoft Office Suite, Excel, Pivot Tables, Workday, Business Process, Communication, System Configuration, Business Analysis, Report Writing, System Integration, Data Conversion, Data Reconciliation, Problem Solving, Project Management, Documentation",ProSearch,"Providence, VA",Associate,Onsite,hr business analyst data payroll,data validation microsoft office suite excel pivot tables workday business process communication system configuration business analysis report writing system integration data conversion data reconciliation problem solving project management documentation
SAP Data Analyst,"SAP, ERP, SAP S4 HANA, ETL, SQL, Access, Excel, Data Profiling, Data Analysis, Data Modeling, Querying, Requirements Gathering, Business Process Modeling, Stakeholder Management, Liaison, Change Management, Quality Assurance, Testing, Communication, Time Management, Organization, Multitasking, Prioritization",Wanzl North America,"Denver, NC",Associate,Onsite,sap data analyst,sap erp sap s4 hana etl sql access excel data profiling data analysis data modeling querying requirements gathering business process modeling stakeholder management liaison change management quality assurance testing communication time management organization multitasking prioritization
Database Developer 2,"Database Administration, Problem Solving, Decision Making, Database Instances, Development, Staging, Production Environments, Installation, Configuration, Maintenance, Performance Optimization, Hardware Purchases, Server Configuration Changes, Index/Query Changes, Database Service Outages, Database Design, Tuning Options, Database Monitoring Utilities, Relational Database Management Systems, Recovery Procedures, Integration, Data Modeling, Backup Technologies, EnterpriseWide Systems, Database Development, Deployments, Documentation, Software Design Principles, Design Skills, QA Management, Structured Query Language, EO/IR Systems, Business Systems, Experience with Security, Operations, Relational Databases, SQL, Database Proficiency, System Analysis, Stored Procedures, Relational Database Design, Software Design, Database Experience, Query Optimization, Documentation Building and Maintenance, Storage and Server Hardware, Production and OnCall Environments",Robert Half,"Las Vegas, NV",Mid senior,Onsite,database developer 2,database administration problem solving decision making database instances development staging production environments installation configuration maintenance performance optimization hardware purchases server configuration changes index query changes database service outages database design tuning options database monitoring utilities relational database management systems recovery procedures integration data modeling backup technologies enterprisewide systems database development deployments documentation software design principles design skills qa management structured query language eo ir systems business systems experience with security operations relational databases sql database proficiency system analysis stored procedures relational database design software design database experience query optimization documentation building and maintenance storage and server hardware production and oncall environments
Data Business Analyst,"Data Ingestion, Data Transformation, Data Modelling, Data Analytics, Machine Learning, Data Security, Data Governance, SQL, Power BI, Snowflake, Azure DevOps, Agile, Scrum, Kanban, SAFe, Excellent analytical skills, Problemsolving skills, Critical thinking skills, Exemplary communication skills, Interpersonal skills, Collaboration skills, Detailorientation, Organizational skills, Project management skills",Bupa,"Salford Quays, England, United Kingdom",Mid senior,Onsite,data business analyst,data ingestion data transformation data modelling data analytics machine learning data security data governance sql power bi snowflake azure devops agile scrum kanban safe excellent analytical skills problemsolving skills critical thinking skills exemplary communication skills interpersonal skills collaboration skills detailorientation organizational skills project management skills
BI Data Analyst (Imange),"BI Data Analyst, Imanage, Jira, Business Objects, SQL, Databases, Flowcharts, Presentation decks, Computer Science, Information Management, Statistical techniques, Data Quality, Data cleansing, Data collection, Data analytics, Informatica, SSIS, Trend analysis, Data warehousing, ETL tools, Tableau, Power BI, Data visualization, SQL Server, Source control, Software configuration, Cloud platforms, AWS, Azure, GCP, Hybrid environments, Data analysis, Data reports, Technical writing, Verbal communication",Central Business Solutions Inc.,"San Francisco, CA",Mid senior,Onsite,bi data analyst imange,bi data analyst imanage jira business objects sql databases flowcharts presentation decks computer science information management statistical techniques data quality data cleansing data collection data analytics informatica ssis trend analysis data warehousing etl tools tableau power bi data visualization sql server source control software configuration cloud platforms aws azure gcp hybrid environments data analysis data reports technical writing verbal communication
Senior Database Administrator (f/m/d),"MySQL, MariaDB, Linux, AWS, Chef, Bash, Python, Terraform, SQL, Performance Tuning, Backup and Recovery, High Availability Architectures, Open Source, Scripting, Cloud Experience, Analytical Thinking",Awin Global,"London, England, United Kingdom",Mid senior,Onsite,senior database administrator f m d,mysql mariadb linux aws chef bash python terraform sql performance tuning backup and recovery high availability architectures open source scripting cloud experience analytical thinking
HR Data Analyst,"Data Analysis, HR Systems, Data Cleansing, HR Metrics, Data Interpretation, Trend Analysis, GDPR Governance, Business Systems, Databases, Trackers, Electronic Files, Data Auditing, Reconciliation, Microsoft Office Suite, Communication, Time Management, Prioritization, HR Operations, Onboarding, Payroll",SYSTRA,"York, England, United Kingdom",Mid senior,Onsite,hr data analyst,data analysis hr systems data cleansing hr metrics data interpretation trend analysis gdpr governance business systems databases trackers electronic files data auditing reconciliation microsoft office suite communication time management prioritization hr operations onboarding payroll
Senior Technical Data Analyst,"Informatica, Data Analysis, Data Transformation, ETL, Data Warehousing, Data Architecture, DataCentric Technologies, Cloud Computing, Oracle Suite, PowerBI, Tableau, Risk Management, Disaster Recovery, Business Continuity, IT Security Architecture, IT Regulatory Compliance, AWS, Business Strategy, Project Portfolio, Medicaid, EDI, EOHHS, EOTSS, RFP, SOW, SaaS, Bachelor's Degree, Information Systems, IT, Healthcare Setting",HexaQuEST Global,"Boston, MA",Mid senior,Onsite,senior technical data analyst,informatica data analysis data transformation etl data warehousing data architecture datacentric technologies cloud computing oracle suite powerbi tableau risk management disaster recovery business continuity it security architecture it regulatory compliance aws business strategy project portfolio medicaid edi eohhs eotss rfp sow saas bachelor s degree information systems it healthcare setting
Track Maintenance Engineer (Data),"Data analysis, Computer programming, Statistical models, Machine learning algorithms, Data visualisation, Technical testing, Instrument management, Data interpretation, Communication, Presentation, Problem solving, Engineering theory, Data structure, Data formatting, Railway sector, Transport sector, Collaboration, Project development, Data wrangling, Statistical modelling, R, Python, Excel",Transport for London,"London, England, United Kingdom",Associate,Onsite,track maintenance engineer data,data analysis computer programming statistical models machine learning algorithms data visualisation technical testing instrument management data interpretation communication presentation problem solving engineering theory data structure data formatting railway sector transport sector collaboration project development data wrangling statistical modelling r python excel
Sustainability Data Analyst,"Sustainability Data Analyst, Data Management, Reporting, Compliance, Data Analytics, Project Coordination, Microsoft Excel, Data Structures, Data Visualization, Data Mining, Data Cleansing, Data Warehousing, Data Integration, Data Modeling, Data Governance, Business Intelligence, Data Mining, Data Visualization, Data Integration, Sustainability Reporting, Carbon Emissions Reporting, Project Management, Stakeholder Management, Communication, ProblemSolving, Analytical Thinking, Attention to Detail, ProcessDriven, Continuous Process Improvement, Emotional Intelligence, Multitasking, Prioritization, Time Management, Quality Assurance, ClientFocused",JLL,"London, England, United Kingdom",Associate,Onsite,sustainability data analyst,sustainability data analyst data management reporting compliance data analytics project coordination microsoft excel data structures data visualization data mining data cleansing data warehousing data integration data modeling data governance business intelligence data mining data visualization data integration sustainability reporting carbon emissions reporting project management stakeholder management communication problemsolving analytical thinking attention to detail processdriven continuous process improvement emotional intelligence multitasking prioritization time management quality assurance clientfocused
"Data Analyst (Bangkok Based, relocation provided)","data representation, data analysis, SQL, data analytics, analytics, python (programming language), data mining, data science, r (programming language), tableau, analytical skills, data visualization, databases, business analysis, business intelligence (bi), microsoft sql server, machine learning, statistics, microsoft power bi, java, finance, shopee, traveloka, google, facebook, ctrip, trip.com, makemytrip, grab, amazon, pandas (software), artificial intelligence (ai), information technology, capital one, accenture, upwork, deloitte, mckinsey, bain, microsoft, uber, lyft, gojek, lazada, alibaba, shopify, expedia, skyscanner",Agoda,"San Francisco, CA",Associate,Onsite,data analyst bangkok based relocation provided,data representation data analysis sql data analytics analytics python programming language data mining data science r programming language tableau analytical skills data visualization databases business analysis business intelligence bi microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip com makemytrip grab amazon pandas software artificial intelligence ai information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscanner
Senior Data Analyst,"Data analysis, Data privacy, Energy policy, Energy storage, Energy efficiency, Demand response, Retail energy markets, Grid infrastructure, Quantitative analysis, Problemsolving, Communication, Collaboration, Clean energy, Environmental sustainability, Energy usage data, Personally identifiable information, Customer data, Thirdparty access, Utility data access mechanisms, Portals, Data standardization, Data efficiency, Research, Policy analysis, Quantitative tasks, Technical concepts, Operational concepts, Meeting facilitation, Stakeholder workshops, Public forums, Electricity system, Climate policy, Energy Division, California Public Utilities Commission (CPUC)",California Public Utilities Commission,"San Francisco County, CA",Mid senior,Onsite,senior data analyst,data analysis data privacy energy policy energy storage energy efficiency demand response retail energy markets grid infrastructure quantitative analysis problemsolving communication collaboration clean energy environmental sustainability energy usage data personally identifiable information customer data thirdparty access utility data access mechanisms portals data standardization data efficiency research policy analysis quantitative tasks technical concepts operational concepts meeting facilitation stakeholder workshops public forums electricity system climate policy energy division california public utilities commission cpuc
Senior Manager – Oracle & Cloud Database Administration,"Oracle, Cloud, Cloud migration, Resiliency, Security, Observability, Data Architecture, Data Modeling, Data Integrity, Data Management, Database Design, Data Solutions, Database Administration, Database Project Work Plans, Database Functionality, AWS MySQL, PostgreSQL, Relational Database Management Systems (RDBMS), Business Intelligence, Reporting, Data Analytics, Big Data, Cloud Computing, Modernization, Emerging Technologies, Leadership, Team Building, Oracle RAC, Data Guard Technology, MySQL, PostgreSQL, Computer Science, Mathematics, Information Systems",United Airlines,"Houston, TX",Mid senior,Onsite,senior manager oracle cloud database administration,oracle cloud cloud migration resiliency security observability data architecture data modeling data integrity data management database design data solutions database administration database project work plans database functionality aws mysql postgresql relational database management systems rdbms business intelligence reporting data analytics big data cloud computing modernization emerging technologies leadership team building oracle rac data guard technology mysql postgresql computer science mathematics information systems
Senior Data Analyst - TS/SCI w/ FS Poly,"Data Management, Data Analysis, Data Discovery, Data Integration, Data Mining, Microsoft Excel, Linear Modeling and Simulation, Nonlinear Modeling and Simulation, Agile Analytic Development Life Cycle, Requirements Gathering, Requirements Development, Requirements Testing, Peer Reviewing, Team Environment, Data Analytics, Software, DoD and/or IC Program, Planning, Budgeting, Execution, Handbooks, Manuals, Job Aids, Dictionaries, Prototype Datasets",SIXGEN,"Annapolis Junction, MD",Mid senior,Onsite,senior data analyst ts sci w fs poly,data management data analysis data discovery data integration data mining microsoft excel linear modeling and simulation nonlinear modeling and simulation agile analytic development life cycle requirements gathering requirements development requirements testing peer reviewing team environment data analytics software dod and or ic program planning budgeting execution handbooks manuals job aids dictionaries prototype datasets
Senior Data Analyst,"Data Analyst, Data Investigation, Data Transformation, Data Modeling, Data Ingestion, Data Curation, Data Warehousing, SQL, Snowflake, Microsoft, Oracle, Matillion, Big Data, Cloud Computing, Data Analytics, Data Quality, Data Governance",Health Support Services (WA health system),"Perth, Western Australia, Australia",Mid senior,Onsite,senior data analyst,data analyst data investigation data transformation data modeling data ingestion data curation data warehousing sql snowflake microsoft oracle matillion big data cloud computing data analytics data quality data governance
Data Analyst / Engineer in Support of NET Assessment,"English, Data Analysis, Qualitative and Quantitative Analysis, Mathematical Analysis, Statistical Analysis, General Research, Data Visualization, Analytical Tools, NATO ACT, Strategic Foresight, Data Collection, Databases, Comparative Analysis, Strategic Proposals, NATO Net Assessment Community",Brevco Services SCS,"Norfolk, VA",Mid senior,Onsite,data analyst engineer in support of net assessment,english data analysis qualitative and quantitative analysis mathematical analysis statistical analysis general research data visualization analytical tools nato act strategic foresight data collection databases comparative analysis strategic proposals nato net assessment community
Oracle Database Administrator,"Oracle Database Installation, Oracle Database Configuration, Oracle Database Patching, Application Schema Deployment, Application Schema Maintenance, Backup and Recovery using TSM/TDPO and Veeam, Database Monitoring using OEM, Data Guard (DR) Monitoring and Management, New DB Features Evaluation and Promotion, PointinTime Recovery, Instance Failover, OnCall Support, OS and DB Security Constructs, Team Player, Health Report Creation and Followup, Troubleshooting with Oracle Tech Support, RAC and ExaCC, Performance Tuning, SQL Tuning",Akkodis,"Dearborn, MI",Mid senior,Onsite,oracle database administrator,oracle database installation oracle database configuration oracle database patching application schema deployment application schema maintenance backup and recovery using tsm tdpo and veeam database monitoring using oem data guard dr monitoring and management new db features evaluation and promotion pointintime recovery instance failover oncall support os and db security constructs team player health report creation and followup troubleshooting with oracle tech support rac and exacc performance tuning sql tuning
Data Engineer IV - Max Digital (Data Engineering),"Computer Science, Information Technology, Data Engineering, SQL, ETL, Web APIs, Python, AWS, MongoDB, DBT, Airflow, Snowflake",ACV Auctions,"Connecticut, United States",Mid senior,Onsite,data engineer iv max digital data engineering,computer science information technology data engineering sql etl web apis python aws mongodb dbt airflow snowflake
Oracle Database Administrator,"Oracle Database Administration, SQL/PLSQL, Linux, Database Management",TekIntegral,"Boca Raton, FL",Mid senior,Onsite,oracle database administrator,oracle database administration sql plsql linux database management
Data Analyst,"Data Analysis, Database Systems, Schema Design, Data Normalization, Data Quality Assessment, Data Warehousing, MS Office, Excel, SAP, JDE, AS400, Spanish, English, Accounting, Engineering, IT, Business, Project Management, Problem Solving, Teamwork, Communication","First Brands Group, LLC","Juárez, Chihuahua, Mexico",Mid senior,Onsite,data analyst,data analysis database systems schema design data normalization data quality assessment data warehousing ms office excel sap jde as400 spanish english accounting engineering it business project management problem solving teamwork communication
IT - Database Developer 3,"Relational database design, Relational database management, Requirements development, Software design principles, Structured Query Language (SQL), Systems Analysis Design, Data modeling, Physical database design, Logic database design, Software design and development, Adhoc SQL, Data pipeline, Databricks, PySpark, Teradata, Data dependencies, Data flows",Dice,"Las Vegas, NV",Mid senior,Onsite,it database developer 3,relational database design relational database management requirements development software design principles structured query language sql systems analysis design data modeling physical database design logic database design software design and development adhoc sql data pipeline databricks pyspark teradata data dependencies data flows
Sr. Data Developer,"Data Development, Oracle, SQL, OLTP, 3NF, Dimensional Modeling, Data Mart Modeling, Star Schema, Snowflake, Data Analysis, SDLC, Scaled Agile Delivery Frameworks, PL/SQL, ETL Tools, Data Stage, Business Intelligence Reporting, Cognos, PowerBI, Oracle Database Performance Tuning, Data Profiling, Data Modeling, Data Analysis, Data Mapping, Data Structure Design, Business Requirements Gathering, Design Guidance, Development Team Collaboration, Data Processing Accuracy, Data Processing Efficiency, Data Processing Completeness, Work Prioritization, Timelines",TechTammina LLC,"Troy, MI",Mid senior,Onsite,sr data developer,data development oracle sql oltp 3nf dimensional modeling data mart modeling star schema snowflake data analysis sdlc scaled agile delivery frameworks pl sql etl tools data stage business intelligence reporting cognos powerbi oracle database performance tuning data profiling data modeling data analysis data mapping data structure design business requirements gathering design guidance development team collaboration data processing accuracy data processing efficiency data processing completeness work prioritization timelines
Data Analyst,"Data Analysis, Algorithms, Database Design, SQL, Python, R, Data Warehousing, Data Modeling, MySQL, SQL Server, PostgreSQL, MongoDB, Cassandra, Redis, Data Visualization, Tableau, Power BI, ProblemSolving, Attention to Detail, Organizational Skills, Communication, Business Understanding",FreightPlus,"Quincy, MA",Mid senior,Onsite,data analyst,data analysis algorithms database design sql python r data warehousing data modeling mysql sql server postgresql mongodb cassandra redis data visualization tableau power bi problemsolving attention to detail organizational skills communication business understanding
Senior Data Engineer - C2c,"Snowflake, DBT, Python, Data Engineering, Data architecture, Data security, Distributed computing, Application security, Data warehousing, Java, Version Control Systems, Continuous Integration/Delivery, Infrastructure Automation, Virtualization, Cloud, API Design and Development, ETL Tools, BI and Reporting Tools, Messaging Systems",Strategic Data Systems,"Cincinnati, OH",Mid senior,Onsite,senior data engineer c2c,snowflake dbt python data engineering data architecture data security distributed computing application security data warehousing java version control systems continuous integration delivery infrastructure automation virtualization cloud api design and development etl tools bi and reporting tools messaging systems
Senior Data Analyst,"Data Analysis, SQL, Big Data, Oracle, Unix, Shell Scripting, Data Visualization, Tableau, PowerBI, Excel, Data Modeling, Data Warehousing, ETL, Finance",LTI - Larsen & Toubro Infotech,"Tampa, FL",Mid senior,Onsite,senior data analyst,data analysis sql big data oracle unix shell scripting data visualization tableau powerbi excel data modeling data warehousing etl finance
Senior Data Engineer,"Scala, Spark, Hadoop, Elasticsearch, GCP, Data Processing Pipelines, Data Manipulation, Cleansing, Parsing, Standardizing",Signify Technology,"London, England, United Kingdom",Mid senior,Onsite,senior data engineer,scala spark hadoop elasticsearch gcp data processing pipelines data manipulation cleansing parsing standardizing
Data Analyst Lead,"Data Analytics, SAS, SQL, AQT, MS Windows, Data Extraction, Data Manipulation, Repository Building, Data Interpretation, Data Visualization, Business Analysis, Critical Thinking, Database Queries, Interpreting Data, Organizational Skills, Process Flow, Professional Writing, Project Management, Security Awareness, Strategic Planning Initiatives, Root Cause Analysis, Data Integration, Data Accuracy, Data Integrity, Data Mining, Data Warehousing, Data Modeling, Data Visualization, Data Presentation, Analytical Problem Solving, Analytical Reasoning, Business Intelligence, Visio, Flowcharting Tools, Bachelor's Degree, Science, Technology, Math, Business, Data Science, Informatics, Actuarial Science, Healthcare Management, Experience Studies, Decision Making, Process Improvement, Data Validation, Data Standards, Forecasting, Statistics, Methodologies, Training, Technical Support, Coaching, Mentoring, Administrative Manual, Segregation of Duties",Arkansas Blue Cross and Blue Shield,"Little Rock, AR",Mid senior,Onsite,data analyst lead,data analytics sas sql aqt ms windows data extraction data manipulation repository building data interpretation data visualization business analysis critical thinking database queries interpreting data organizational skills process flow professional writing project management security awareness strategic planning initiatives root cause analysis data integration data accuracy data integrity data mining data warehousing data modeling data visualization data presentation analytical problem solving analytical reasoning business intelligence visio flowcharting tools bachelor s degree science technology math business data science informatics actuarial science healthcare management experience studies decision making process improvement data validation data standards forecasting statistics methodologies training technical support coaching mentoring administrative manual segregation of duties
Data Analyst,"Communication skills, ERP (Enterprise Resource Planning) experience, Sage 100 ERP, FactoryMaster ERP, Advanced Excel, Data cleansing, Data migration",Steneral Consulting,"Ramsey, NJ",Associate,Onsite,data analyst,communication skills erp enterprise resource planning experience sage 100 erp factorymaster erp advanced excel data cleansing data migration
Lead Data Engineer,"Data Engineering, Data Warehousing, Data Pipelines, ETL, SQL, Cloud Technology, Data Architecture, Data Modeling, Data Quality, Data Governance, Data Analysis, RDBMS, Machine Learning, Python, Snowflake, Cloud Data Strategy, Data Integration, AWS, Microsoft Azure, Agile Methodology, Informatica, Data Stage, Microsoft SSIS/SSRS, PowerDesigner, ERwin, ER Studio, Oracle PL/SQL, healthcare, Business Intelligence, Data Mart, Database Performance Tuning, Dimensional Modeling, Logical Data Models, Physical Data Models",Medica,"Minnetonka, MN",Mid senior,Onsite,lead data engineer,data engineering data warehousing data pipelines etl sql cloud technology data architecture data modeling data quality data governance data analysis rdbms machine learning python snowflake cloud data strategy data integration aws microsoft azure agile methodology informatica data stage microsoft ssis ssrs powerdesigner erwin er studio oracle pl sql healthcare business intelligence data mart database performance tuning dimensional modeling logical data models physical data models
Healthcare Data Analyst - Employee Benefits ( fka Diversified Insurance),"Data Analysis, Data Visualization, Tableau, SQL, Data Extraction, Data Profiling, Data Quality, Data Integration, Data Architecture, Microsoft Office, Business Intelligence, Reporting, Data Warehousing, Data Management, Collaboration, Communication, Problem Solving, Analytical Skills, Attention to Detail, SelfMotivation, Team Player, 4year College Degree, Experience in DatabaseCentric Applications","IMA Financial Group, Inc.",Salt Lake City Metropolitan Area,Mid senior,Onsite,healthcare data analyst employee benefits fka diversified insurance,data analysis data visualization tableau sql data extraction data profiling data quality data integration data architecture microsoft office business intelligence reporting data warehousing data management collaboration communication problem solving analytical skills attention to detail selfmotivation team player 4year college degree experience in databasecentric applications
Volunteer: Data entry for tech-driven nonprofit,"VolunteerMatch, LinkedIn for Good, Google Sheets, Slack, Excel, Data Entry, Written Communication, Verbal Communication, Computer Skills, Typing Skills, Proofreading skills, Nonprofit, Community resources, Database Management, Resource Editing Tool, Online Research",One Degree  |  1degree.org,"San Francisco, CA",Associate,Onsite,volunteer data entry for tech driven nonprofit,volunteermatch linkedin for good google sheets slack excel data entry written communication verbal communication computer skills typing skills proofreading skills nonprofit community resources database management resource editing tool online research
Financial Data Analyst (3288),"Financial data analysis, Data visualization, Data warehousing, Data integrity, SQL, Python, Tableau, Power BI, MS Office Suite (Word Excel PowerPoint Outlook TEAMS Zoom), Data analysis, Statistics, Project management, Business Intelligence, Retail analytics, KPIs, Financial KPIs, Business performance, Predictive modeling, Data availability, Data scalability, Data sources, Data tables, Data integrity, Requirements gathering, Dashboard creation, Data reporting, Communication, Problemsolving, Attention to detail, Analytical skills, Quantitative skills",NextPath Career Partners,"Orlando, FL",Mid senior,Onsite,financial data analyst 3288,financial data analysis data visualization data warehousing data integrity sql python tableau power bi ms office suite word excel powerpoint outlook teams zoom data analysis statistics project management business intelligence retail analytics kpis financial kpis business performance predictive modeling data availability data scalability data sources data tables data integrity requirements gathering dashboard creation data reporting communication problemsolving attention to detail analytical skills quantitative skills
Senior Data Quality Analyst,"SAP MDG Hub Data Quality Management (DQM), PowerBI, SAP SAC, Data Visualization Platforms, Data Quality Management Certification",Accroid Inc,"Inver Grove Heights, MN",Associate,Onsite,senior data quality analyst,sap mdg hub data quality management dqm powerbi sap sac data visualization platforms data quality management certification
Data Analyst,"Data engineering, Databricks, AWS, SQL, Python, Apache Spark (PySpark), Coding notebooks, Large and complex datasets, Analytical skills, Problemsolving skills, Communication skills, Presentation skills, Agile methodologies, Data pipelines, Data models, Reports, Dashboards, Flexible work arrangements, Paid Parental Leave, Wellbeing program, Learner journeys",Healthdirect Australia,"Sydney, New South Wales, Australia",Mid senior,Onsite,data analyst,data engineering databricks aws sql python apache spark pyspark coding notebooks large and complex datasets analytical skills problemsolving skills communication skills presentation skills agile methodologies data pipelines data models reports dashboards flexible work arrangements paid parental leave wellbeing program learner journeys
Data Entry Specialist,"Data Entry, Filing, Cataloging, Invoicing, Conversion, Copying, Pasting, Accounting, Bilingual",AppleOne Employment Services,"Glendale, CA",Mid senior,Onsite,data entry specialist,data entry filing cataloging invoicing conversion copying pasting accounting bilingual
Sr Business Data Analyst,"Data Visualization, Data Analytics, Business Intelligence, Modeling, Optimization, Data Mining, Data Structure, Databases, Reporting, Cycle Time to Action, Cost Benefit Analysis, Predictive Modeling, Data Gathering, Problem Solving, Communication, Teamwork, Finance, Labor Budgeting, Spreadsheets",DHL Supply Chain,"Westerville, OH",Mid senior,Onsite,sr business data analyst,data visualization data analytics business intelligence modeling optimization data mining data structure databases reporting cycle time to action cost benefit analysis predictive modeling data gathering problem solving communication teamwork finance labor budgeting spreadsheets
Data Analyst,"Data Analytics, Data Integration, Data Reporting, Database Development, Data Analysis, ProblemSolving, Microsoft Office Suite (Access Word Excel PowerPoint), Internet Research, Software Adaptability, Acts 33 and 34 Clearances, Pennsylvania Motor Vehicle License, Data Management",Human Services Administration Organization,"Pittsburgh, PA",Mid senior,Onsite,data analyst,data analytics data integration data reporting database development data analysis problemsolving microsoft office suite access word excel powerpoint internet research software adaptability acts 33 and 34 clearances pennsylvania motor vehicle license data management
HR Data Analyst EDGE,"Microsoft Power Point, Microsoft Excel, Microsoft PowerBI, ADP, Data analysis, Data visualization, Data interpretation, HRIS, Talent Acquisition, Employment, Training, Compensation, Payroll, Benefits, Communication, ProblemSolving, HR Reporting, Human resource information system, Payroll outputs, Management, Employee surveys, Exit interviews, Employment records, Government labor statistics, Competitors’ practices, Learning management systems, Computer Science, Human Resources",OceanFirst Bank,"Red Bank, NJ",Mid senior,Onsite,hr data analyst edge,microsoft power point microsoft excel microsoft powerbi adp data analysis data visualization data interpretation hris talent acquisition employment training compensation payroll benefits communication problemsolving hr reporting human resource information system payroll outputs management employee surveys exit interviews employment records government labor statistics competitors practices learning management systems computer science human resources
Security Data Analyst - 22483,"Data Analysis, Azure, Vulnerability Management, Patch Management, ETL Processes, Database Design, Data Manipulation, Problem Solving, Troubleshooting, Communication Skills, Threat Management, Bachelor's Degree in Technical Field",Wimmer Solutions,"Redmond, WA",Mid senior,Onsite,security data analyst 22483,data analysis azure vulnerability management patch management etl processes database design data manipulation problem solving troubleshooting communication skills threat management bachelor s degree in technical field
Processing Specialist IV-Data Entry,"Data Entry, Operator, Scanning, Deposit, Reconciliation, Balancing, File Creation, Transmission, Client Communication, Quality Control, Problem Solving, HandEye Coordination, Detailed Orientation, Adaptability, Teamwork, Communication Skills, ProblemSolving Skills",Deluxe,"Monterey Park, CA",Associate,Onsite,processing specialist iv data entry,data entry operator scanning deposit reconciliation balancing file creation transmission client communication quality control problem solving handeye coordination detailed orientation adaptability teamwork communication skills problemsolving skills
"Data Analyst (Bangkok Based, relocation provided)","data analysis, data mining, data science, data representation, analytics, data visualization, databases, business analysis, business intelligence, machine learning, statistics, artificial intelligence, information technology, SQL, python, tableau, R, Microsoft Power BI, Java, pandas, Excel, SAS, SPSS, VBA",Agoda,"London, England, United Kingdom",Associate,Onsite,data analyst bangkok based relocation provided,data analysis data mining data science data representation analytics data visualization databases business analysis business intelligence machine learning statistics artificial intelligence information technology sql python tableau r microsoft power bi java pandas excel sas spss vba
