job_title,job_skills,company,job_location,job_level,job_type
Senior Data Scientist,"Data Science, Recommender Systems, Machine Learning, Python, PyTorch, TensorFlow, AWS, MLOps, CRM, Agile, Team Building",Harnham,"Leicester, England, United Kingdom",Mid senior,Onsite
Azure Data Engineer,"Data Engineering, Data Analytics, Azure Data Bricks, Azure Data Factory, PowerShell scripting, Azure storage concepts, Blob storage, Gen2 storage, Great Expectations, Data validation, Commercial processes, Financial processes, ERP processes, DataDog, Splunk, Data Platform Observability, Data Validation, Power BI",Keylent Inc,"Beverly, NJ",Mid senior,Onsite
Lead Azure Data Engineer-US,"Azure Data Bricks, ETL, Big Data, MarkLogic, Talend, Master Data Management (MDM), Data Bricks, Snowflake, Data Factory, Change Data",Zortech Solutions,"Minneapolis, MN",Mid senior,Onsite
"Big Data Lead - New Jersey, Nj","Azure, Pyspark, SQL, SAS, Synapse, Databricks, ETL, Data Warehousing, Data Integration, Cloud, Architecture, Design, Data Modeling, Data ingestion, Data preparation, Data integration, Operationalization, Data requirements, Relational data processing, MS SQL, Delta Lake, Spark SQL, SQL Server, Orchestration tools, Azure DevOps, GitHub, Endtoend development, Coding, Testing, Debugging, Deployment, Teamoriented, Communication, Collaboration, Prioritization, Adaptability",Soho Square Solutions,"The College of New Jersey, NJ",Mid senior,Onsite
Database – Principal Advanced Support Engineer,"Oracle Goldengate, Oracle RAC Database, Oracle ASM architecture, Oracle RAC architecture, Oracle Database Performance, Oracle database features, Database management systems, Support tools, Oracle diagnostics, Programming and solving, C, C++, Unix, Linux, Windows operating systems, Architecture, Troubleshooting, Customer support, Problem avoidance, Oracle's core products, Applications, Tools, Technical skills, Communication skills, Teamwork skills, Analytical skills, Problemsolving skills, Bachelor's degree, Master's degree, Computer Science, Engineering",Oracle,"Frisco, TX",Mid senior,Onsite
Senior Database Administrator,"Microsoft SQL Server, Data systems, Data security, Database administration, Stored procedures, Data replication, Monitoring, Risk assessment, Technical documentation, Project management, Communication, Problem solving, Research, Bachelor's Degree, Oracle DB, Postgres, Redis, Kafka, RabbitMQ",Garmin,"Chandler, AZ",Mid senior,Onsite
Sr. Oracle Database Administrator (DBA),"Oracle DBA, SQL, RMAN, Active Data Guard, Golden Gate, GDS, OEM, High Availability and Disaster Recovery, Performance Tuning, Backup and Recovery, Patching, Database Refreshes, Postgres, BASH, KSH, PowerShell, Python, RAC, OLTP, Data Warehouse, EDB Postgres Advanced Server, Autonomous Work, Teamwork, Communication Skills, Requirements Gathering, Dynamic Environment, Agile Development Methodology, Data Domain, Rubrik, MongoDB Atlas, Insurance Industry Experience, Health Care Industry Experience, Computer Science Degree",TechTammina LLC,"Okemos, MI",Mid senior,Onsite
Senior Database Developer,"SQL, Database Design, Data Modeling, Data Quality, Data Integrity, Data Analysis, Data Visualization, Microsoft Excel, Microsoft Access, Advanced Coding Skills, Technical Writing, Attention to Detail, ProblemSolving, Analytical Thinking, Communication Skills, Teamwork, Creativity, Flexibility, Strategic Thinking, Innovation","RecruitTalent, LLC.","Brooklyn, NY",Mid senior,Onsite
"Staff Machine Learning Engineer, Series A","Machine Learning, Deep Learning, Python, Numpy, Pandas, Numba, Torch, Tensorflow, Jupyter, Cloud services (GCP AWS Azure), MLFlow, WandB, DataBricks, Agile methodologies, Model training, Code review, ML research, Product documentation, MVP, FDA approvals, SaMD, Speech processing, Audio classification, Experiment tracking, Reproducibility tools",Recruiting from Scratch,"Colorado Springs, CO",Mid senior,Onsite
Senior Statistical Data Analyst - Biostatistics,"Machine Learning, Deep Learning, SQL, Causal Inference, PyTorch, Tensorflow, Linux, EHR, Claims Database, Containerization, Statistical Analysis, Data Analysis, Data Modeling, Data Visualization, Algorithm Development, Software Development, Communication, Healthcare Research, Data Analytics, Probability, Statistical Inference, Clinical Trials, Epidemiology, Cloud Computing",Washington University in St. Louis,"St Louis, MO",Mid senior,Onsite
GIS DATABASE ADMIN,"Geospatial database design, SQL Server, Oracle, PostgreSQL, Geodatabase management, ETL routines, Custom scripts, COTS products, SQL, Python, Data processing, Data analysis, Reporting, SQL Server stored procedures, Functions, Triggers, Computer Science, Information Technology, Geographic Information Systems",Acro Service Corp,"Phoenix, AZ",Mid senior,Onsite
Principal Data Engineer,"Crossfunctional communications, Product development, Software Development Life Cycle, Solution vision, IT direction, Technical guidance, Technology industry trends, Recruitment services, Redesign applications, Education, Computer Science, Information Technology, Engineering, Finance, Banking, Benefits, Paid time off, Parental leave, Employee stock purchase plan, Insurance benefits, Associated Bank, Facebook, LinkedIn, X",Associated Bank,"Milwaukee County, WI",Mid senior,Onsite
Data Engineer,"Python, Dashboarding, Financial data, Data pipelines, Data architecture, Crossfunctional collaboration, Data requirements, Data processing, Data transformation, Data analysis, Interactive dashboards, Data visualization, Data communication, Data integrity, Data reliability, Datadriven decisionmaking, Bachelor's or Master's degree, Computer Science, Data Engineering, Financial data experience, SQL, ETL processes, Data warehousing, Financial regulations, Compliance considerations, Cloud platforms, AWS, Azure, GCP, Communication skills, Collaboration skills",Parallel Consulting,"New York, NY",Mid senior,Onsite
Senior Data Platforms Administrator,"Senior Data Platforms Administrator, Data services, NoSql technologies, Data science tooling, Data streaming platforms, Kafka, ElasticSearch, MongoDB, Postgresql, Redis, Infrastructureascode, Automation, Bash, Python, Powershell, Ansible, Golang, SQL, Terraform, Continuous integration/continuous deployment (CI/CD), Container orchestration platforms, AKS/Kubernetes, Computer Science, Software Engineering, IS, MIS, Bachelor's degree, Agile environment, Cloud environment, Microservice architecture, Restful API’s, Facilitation, Communication, Change management, Diversity and inclusion, Compensation, Equal Opportunity and Affirmative Action Employer, Health and wellness benefits, Retirement savings plans, Career development opportunities, FORTUNE 200 company, FORTUNE's World's Most Admired Companies 2022, LinkedIn's Top Companies in MinneapolisSt. Paul 2021",C.H. Robinson,"Chicago, IL",Associate,Onsite
"Data Analyst, Senior","Data analysis, Statistical analysis, Data visualization, Research methods development, Training and assistance, Data management and QC, Supervisory skills, Advanced computer skills, Statistical skills, Linear algebra, Matrix algebra, Principal components analysis, General linear modeling, B.A. or B.S. degree, Master's degree preferred, Neuroscience, Biomedical engineering, Biostatistics, Applied mathematics, Statistics, Research experience, Remote work, Hybrid work",Massachusetts General Hospital,"Boston, MA",Mid senior,Onsite
Business Analyst front to back office data,"Business Systems Analyst, IT, SQL, Microsoft SQL Server, Sybase, Bloomberg, Reuters, WorldScope, MSCI, S&P, Visio, MS Office, Data Mart, Data Warehouse, Data mapping, Data conversion analysis, Software Development Life Cycle, Incident Management, Stakeholder Management, Project Management, System Development Methodologies, Database Concepts, Problem Solving, Analytical Thinking, MultiTasking, Initiative Taking, Customer Service, Communication, Reporting, Data Analysis",CERES Group,"Boston, MA",Mid senior,Onsite
Sr Data Analyst ( W2 Position ),"Data Analytics, Informatica PowerCenter, Informatica Data Quality, Informatica Data Catalog, Informatica Master Data Management, Google Cloud Platform, Linux System Administration, Software Installation, Software Support, Microsoft SharePoint, Microsoft Visio, Windows Server, DynaTrace, Splunk, Chef/Habitat Scripts, Ford IT Security Policy, Project Planning, Test Planning, Requirements Gathering, Documentation, Collaboration, Technical Support, Implementation, Monitoring, Analysis, Performance Optimization",Megan Soft Inc,"Dearborn, MI",Associate,Onsite
SQL Database Administrator,"SQL Server DBA, SQL, TOAD, Stored Procedures, Triggers, Data Warehouse, Interquery parallelism, Indexing schedules, Active / passive SQL strings, Performance Tuning and Optimization (PTO), Troubleshooting performance issues, Production and nonproduction environments, HighAvailability and Disaster Recovery, Users and permissions management, Database backup/recovery/restore, Capacity monitoring, Database statistics indexes fragmentation, SQL Server upgrades and maintenance, Performance tuning and optimization, Database design and creation, TSQL, SSIS, Azure Data Factory",CDW,"Charlotte, NC",Mid senior,Onsite
Data Engineer,"SQL Server, SSIS, SSAS, Tableau Prep, SQL, Data ingestion, Data orchestration, Data warehousing, Data integrity, Data governance, ETL, Pipelines, Business intelligence, Data visualization, Data modelling, Project leadership, Stakeholder management, Communication, Teamwork, Training and coaching, Azure data space",Harnham,"London, England, United Kingdom",Mid senior,Onsite
Sr. Principal Database Administrator,"Oracle 19c, Oracle 18c, Oracle 12c, Oracle 11g, Oracle Multitenancy, UNIX, Unix shell scripting, OEM, ASH/AWR/ADDM, Data Guard, Solaris, Red Hat Linux, Windows OS, RMAN, NetApp, CommVault, HS, AA, BS, Oracle OCP, Oracle OCM",USPRO,"Nashua, NH",Mid senior,Onsite
Sr. Data Engineer- Customer Analytics (Hybrid),"Data Warehousing, Data Integration, Data Engineering, SQL, Azure ecosystem, Informatica Powercenter, IICS, Cognos, Netezza Performance servers, PowerBI, AzureML, Databricks, Synapse, Python, Scala, Azure DevOps, Github, P&C Insurance, Communication Skills, Bachelor's degree in Computer Science or related engineering field",Selective Insurance,"Branchville, NJ",Mid senior,Onsite
Data Analyst,"Data Analytics, Data Management, Data Visualization, Microsoft Excel, PowerPoint, Power BI, Tableau, SQL, Rapidresponse, Data Mining, Descriptive Statistics, Advanced Analytics Techniques, Business Analysis, Project Management, Data Warehousing, Data Mining, Machine Learning, Artificial Intelligence, Data Governance, Data Security, Data Privacy, Business Intelligence, Reporting, Problem Solving, Communication, Teamwork, Leadership, Motivation, Adaptability, Cultural Awareness, Team Building",Trispoke Managed Services Pvt. Ltd.,"Toledo, OH",Associate,Onsite
Data and Reporting Analyst,"Interpersonal skills, Administrative skills, Written communication, Oral communication, Analytical techniques, Briefing, Report writing, Nontechnical audience, Operational data, Governmentissued laptop, Governmentissued cell phone, Occasional travel, Resume, Work history, Job title, Duties, Federal agency, Supervisor information, Start and end dates, Educational substitution, Security clearance, DHS Training Course, DHS Joint Duty Assignment Progress Plan, Phase 1: Establishment of assignment objectives, Phase 2: Selfassessment of duties, Phase 3: Final review",U.S. Department of Homeland Security,"Indiana, United States",Mid senior,Onsite
Data Engineer,"Data Manipulation, Data Extraction, Data Transformation, Data Loading (ETL), Data Mapping, Analytical Support, Operational Support, Database Support, Maintenance Support, Data Analysis, Data Modeling, Data Testing, Data Quality, Documentation Preparation, Data Flows, Report Generation, Java, Python, SQL, Problem Solving, Organizational Skills, Coordination Skills, Interpersonal Skills, Teambuilding Skills, US Citizenship, TS/SCI with Polygraph Government Security Clearance, C, C++, XML, XQuery, XPath, Ruby on Rails, HTML/XHTML, CSS, Shell Scripting, JSON, Windows, Linux, Distributed Computing, Blade Centers, Cloud Infrastructure, Database Methodologies, Data Analytics, Data Visualization, Data Validation, NiFi Workflows","The Swift Group, LLC","McLean, VA",Mid senior,Onsite
Analyst-Information Services Data Senior,"Data Analysis, Data Discovery, Reporting, Data Visualization, Healthcare Analytics, SQL, TSQL, Azure, Power BI, R, Python, Git, Version Control Systems, Clinical Data, Data Dissemination, SQL Programming, Bachelor's Degree, 57 Years of Experience",Indiana University Health,"Indianapolis, IN",Mid senior,Onsite
Senior Database Administrator,"Oracle 19c 18c 12c 11g, Oracle Multitenancy, Unix shell scripting, Oracle 19c and 18c optimizer behavior, ASH/AWR/ADDM reports, Data Guard, Solaris Red Hat Linux Windows Operating Systems, RMAN backups, Oracle database services, Oracle OCP or OCM Certification, NetApp, CommVault, High School Diploma, Associate of Arts, Bachelor's Degree",Donatech Corporation,"Nashua, NH",Mid senior,Onsite
Lead Oracle Database Administrator,"Oracle Database, Kubernetes, Terraform, Service Now, JIRA, Confluence, Ansible, Python, AWS, OEM, Incident Management, Problem Management, Change Management",RevereIT LLC,"San Antonio, TX",Associate,Onsite
Summer Data Administrator,"Data Maintenance, Customer Database, Sales, Customer Support, Data Integrity, Data Accuracy, Customer Activation, Customer Deactivation, Address Verification, Phone Number Verification, Internet Searches, Phone Calls, Communication Skills, PC Skills, Typing, Data Entry",The Reynolds and Reynolds Company,"Houston, TX",Mid senior,Onsite
Info Big Data Engineer (Sr. Engineer),"Data analysis, Big data infrastructure, Data pipelines, Performance optimization, Troubleshooting, Infotainment, Connected car, Server, HyundaiKia Engineering, Specification improvement, Ideation, Data analysis environment, N. America IBD committee, IBD dashboard, Global IBD projects, Python, R, SQL, SCALA, Agile work scope, Blankslate initiatives, Communication skills, Database optimization, Data ingestion techniques, Android/iOS development, Big data frameworks","Hyundai America Technical Center, Inc. (HATCI)","Superior, MI",Mid senior,Onsite
Senior Data Engineer,"Adobe Experience Platform (AEP) development, AWS integrations, Apache Sling, Adobe Launchpad, AEM Sites, AEM Assets, AEM Forms, CSS frameworks, CSS preprocessors, Python, SQL, Database concepts, Agile development methodologies, Apache Airflow, IAM, S3, EC2, EMR, Lambda, CloudWatch",LatentView Analytics,San Francisco Bay Area,Mid senior,Onsite
Azure Data Engineer,"Azure, SQL, Data Factory, Databricks, Data Lake, Power BI, Sisense, Kafka, Apache Nifi, Machine Learning, Python, Java, Scala, Hadoop, Spark, Git, Data Pipelines, Data Modeling, Data Warehousing, Data Governance, Data Quality, Data Integration, Cloud Security, Compliance, DevOps, CI/CD",iShare Inc.,"Florham Park, NJ",Mid senior,Onsite
Database Administrator,"Database Administration, Disaster Recovery, Performance Tuning, Data Security, Oracle, SQL Server, SYBASE, Data Modeling, Prototyping, User Account Management, Database LifeCycle Management, Bachelor's Degree in Technical Discipline, Postgres, Equal Employment Opportunity",DarkStar Intelligence,"Annapolis Junction, MD",Mid senior,Onsite
Volunteer: Data Entry,"Google Sheets, Data Entry, Volunteerism, Social Media, Fundraising, Marketing, Volunteer Coordination, Mission Trip Coordination",Nursing Beyond Borders,"Santa Monica, CA",Associate,Onsite
Senior Data Engineer,"Bachelor's Degree, PL/SQL, TSQL, ANSI SQL, Snowflake, Oracle, PostgreSQL, MS SQL Server, Data Warehousing, Data integration, Data modeling, JAVA, PYTHON, JSON, Data web services, Apache Kafka, AWS, Azure, Continuous Deployment, Continuous Integration, Cloud security integration, ControlM, AutoSys, Agile, Customer requirements gathering, Design decision making, Leadership, Mentoring, Multitasking, Communication, Presentation",Adroit Software Inc.,"Merrimack, NH",Mid senior,Onsite
Database Specialist,"Database Architecture, Database Administration, Database Design, Database Security, Database Optimization, Cloud Computing, AWS, Azure, Shell Scripting, Troubleshooting, Data Integrity, Data Maintenance, Customer Support",Robert Walters,"Melbourne, Victoria, Australia",Mid senior,Onsite
Senior IT Data Analyst – Public Safety,"Systems administration, Public Safety, Power BI, ESRI, SQL Management Studio, SSRS, SSIS, Python, Azure, AWS, Cloud fundamentals, Visual Studio, Data science, Data visualization, Microsoft Power Apps, Web applications, Reporting, Dashboard development/maintenance, Test plan development/implementation, Enduser support, GCIC Security and Integrity certification, GCIC Inquiry level workbook certification, Valid Driver's License, Agile development, Scrum, JIRA, Kanban, DevOps, Risk management, Problemsolving, Communication, Analytical skills, Customer service",Gwinnett County Government,"Gwinnett County, GA",Mid senior,Onsite
Database Administrator 2,"Database Engineering, SQL, ETL, Data Warehousing, Data Integration, Data Quality, Data Mining, Data Analytics, Python, Java, R, Hadoop, Spark, Big Data, Cloud Computing, AWS, Azure, GCP, Cybersecurity, Information Security, Security Clearance, Top Secret / SCI U.S. Government, Bachelor's degree in Computer Science or similar, 14 years of experience as a database administrator",Captivation,"Annapolis Junction, MD",Mid senior,Onsite
Data/Information Analyst - Contract,"Data analysis, SAP DMS, SAP PM, Spotfire, Teradata, Bluebeam, Databases, Microsoft products, SQL, Engineering drawings, Purchase orders, Purchase requisitions, Material management, HSE Management System, Digital package reviews, Analytical tools, Proactive safety processes, Communication skills, Teamwork, Problemsolving skills, Documentation skills, Business process improvement, Data management, Data validation, Data accuracy, Data integrity, Data governance",ConocoPhillips,"Anchorage, AK",Mid senior,Onsite
Business Data Analyst,"Data Analysis, Business Data Analysis, Data Governance, Data Quality, Data Quality Rules, Lineage, Metadata Management, Application Development, Business Requirements, Requirements Gathering, Communication, Liaison, Development, Testing, Implementation, Modification",Lorven Technologies Inc.,"Hartford, CT",Mid senior,Onsite
Medical Data Analyst,"Data Analysis, Medical Terminology, Microsoft Office Suite (Excel Word Access PowerPoint), EPIC, Allscripts, MIDAS, Reporting, Critical Thinking, Associates Degree, Bachelors Degree, English Communication",Montefiore St. Luke's Cornwall,"Newburgh, NY",Mid senior,Onsite
Data Analyst 3 (Need local candidate only),"Data Analytics, SQL Server Reporting Services (SSRS), Microsoft Report Builder, Data Analytic Software (PowerBI Tableau etc), Relational database queries, Subqueries, Versioning, Temp tables, Clinical data",Alrek Business Solutions Inc,"Iowa, IA",Associate,Onsite
Database Administrator,"Database Administration, Database Design, Database Implementation, Database Maintenance, Backup and Recovery, Configuration Management, Database Management Systems (DBMS), AWS Cloud, SQL Server Databases, AWS RDS (Relational Data Store), Operational Support, PowerShell, Python, PowerBI, AWS Lambda, Team Leadership",Accenture Australia,"Canberra, Australian Capital Territory, Australia",Mid senior,Onsite
Data Analyst #: 23-05691,"Data Analytics, Oracle ERP, SQL, Python, R, Tableau, Power BI, Data Acquisition, Automation, MES (Manufacturing Execution System), PLC, SCADA, Rockwell, Siemens, Oracle EBS, Communication, Collaboration, Troubleshooting, Manufacturing, Engineering",HireTalent - Diversity Staffing & Recruiting Firm,"Hatfield, PA",Mid senior,Onsite
Senior Data Engineer,"Data Engineering, Data Streaming, ETL Development, Data Warehousing, SQL, DataStage, Informatica, Snowflake, AWS, Redshift, Mortgage Experience, Kafka",Agile Global Solutions LLC,"Chesterfield, VA",Mid senior,Onsite
Master Data Management - Data/Process Analyst,"Master Data Analyst, Master Data Management (MDM), Data Cleansing, Data Ingestion Pipelines, Business Process Workflow, Data Matching & Deduplication, Standardization, Data Architecture, Data Integration, Data Security, Data Quality, Data Governance, Data Transformation, Informatica MDM/DG, SAP MDM, Sourcetotarget Map Documents, Business Requirements Gathering, Agile, Waterfall SDLC, SQL, ETL, Business Communication, Analytical Skills, Problemsolving Skills",OpenText,"Fort Collins, CO",Mid senior,Onsite
Urgent Hiring for - Epic Clarity Data Analyst,"Epic Clarity, Data analysis, SQL, Statistical methods, Healthcare data, Revenue cycle operations, Data visualization, Epic Clarity reports, Revenue cycle workflows, Datadriven solutions, IT staff, Clinicians, Advanced technology, Protocols, Operational outcomes, Handson analysis, Statistical forecasting, Revenue cycle informatics, Workflow, Usability testing, User experience, Strategy documents, Data dictionaries, Project documents, Digital solutions, Health system solutions, Epic Clarity Data Model certification, Epic Revenue Cycle certification, Certified Health Data Analyst (CHDA) certification",Intellectt Inc,"North Chicago, IL",Associate,Onsite
Data Analyst - I,"Data analysis, Fraud detection, Digital forensics, Communication skills, Datadriven decision making, Detail orientation, Organizational skills, Multitasking, Teamwork, Prioritization, Problemsolving, SQL, Digital video skills (optional), Investigation experience (optional)",Aditi Consulting,"Richfield, MN",Mid senior,Onsite
Informatica PowerCenter and Snowflake Data Warehouse Analyst,"Data Integration, Data Warehousing, Snowflake Data Cloud, Informatica IICS Cloud Data Integration, ETL (Extraction Transformation Loading), ELT (Extract Load Transform), Data Mining, Data Analysis, Power BI, Tableau, Data Modeling, Data Governance, EDC, Axon, CDGC, COBOL, JCL, DB2, Mainframes, Data Quality, Change Data Capture, PowerExchange, Informatica PowerCenter, Cloud Administration, Performance Tuning, Business Intelligence, Initiative, Communication, Customer Service, Decision Making, Flexibility, Interpersonal, Leadership, Problem Solving, Team Building, Quality Assurance",Dice,"Tallahassee, FL",Mid senior,Onsite
Senior Data Analyst,"Qlik, Tableau, SQL, Data literacy, BI, Dashboard development, Stakeholder management, Finance, Insurance",Army Marketing,"City of London, England, United Kingdom",Mid senior,Onsite
System Administrator / Database Administrator,"Linux, Red Hat, CentOS6, CentOS7, Oracle, SQL Server, MySQL, Oracle Enterprise database version 11g, Oracle Enterprise database version 12c, Oracle Enterprise database version 19c, SQL, Unix shell scripting, RMAN backups, Database restores, Database imports, Database exports, Database encryption, Data aggregation, Report generation, Data visualization, Data analysis, Data security, System administration, Database administration, Security clearance (Top Secret/SCI), 8570 certification (Security++)",E-volve Technology Systems,"Reston, VA",Mid senior,Onsite
APS6 Data/Business Analyst,"Data Analysis, Forecasting, Reporting, Demand and Supply Analysis, Contract Management, Trend Analysis, Data Interpretation, Risk Assessment, Mitigation Activities, Forecasting Accuracy, Internal/External Stakeholder Engagement, Written Communication, Team Collaboration, Microsoft Office Suite, Australian Citizenship, Baseline Clearance",Indigeco Pty Ltd,"Canberra, Australian Capital Territory, Australia",Mid senior,Onsite
Sr. Application Database Administrator,"Data Requirements Analysis, Data Life Cycle Management, Data Migration, Data Backup and Recovery, Data Archiving, Database Design, Database Development, Database Testing, Database Deployment, Database Documentation, Data Warehousing, Database Tuning, Data Profiling, Data Movement, Monitoring, Diagnostics, Postgres RDS, NoSQL, DocumentDB, DynamoDB, Enterprise Quality Solutions, Bachelor's Degree in Computer Science or Information Systems, 5+ Years of Related Experience, Relational Database Systems, NoSQL Database Systems",Tential Solutions,"Rockville, MD",Mid senior,Onsite
Snowflake Data Warehouse Analyst,"Data Integration, Data Warehousing, Snowflake Data Cloud, Informatica IICS Cloud Data Integration, Informatica PowerCenter, Informatica Intelligent Data Quality, Informatica Enterprise Data Catalog, Power BI, Tableau, ETL, ELT, Snowflake enterprise data warehouse/datalakehouse, Data Warehouse Models, Data Analytics, Data Modeling, Power BI and Tableau Reports, Power BI and Tableau Dashboards, Methods and Practices Documentation, Business Intelligence Tools, Informatica IICS Cloud Data Integration tools, Informatica PowerCenter, Informatica Data Quality, PowerExchange, IBM Mainframes COBOL, JCL, DB2 analysis, IICS Cloud Administration, Snowflake Data Cloud Administration, Data Warehouse Metadata, Informatica IICS Cloud Performance Tuning, Snowflake Data Cloud Performance Tuning, Data Governance products, EDC, Axon, CDGC",HummingBirds Consulting  LLC - now doing Business as HummingBirds Innovation,"Tallahassee, FL",Mid senior,Onsite
Data Analyst,"Data Warehouse, Business Intelligence, Data Mapping, Data Modelling, Data Cleansing, ProblemSolving, Investigative Skills, Technical Environment, Business Requirements, Release Management, Communications, Interpersonal Skills, Azure, Synapse Analytics, Power BI, Database Formats, Connectivity Methods",IT Alliance Australia,"Australian Capital Territory, Australia",Mid senior,Onsite
Volunteer: Data Entry,"Data entry, Data research, Data contact, Email, Telephone",VolunteerMatch,"Durham, NC",Associate,Onsite
Data Analyst,"Data Analytics, KPI Analysis, Project Planning, Project Execution, Stakeholder Management, JIRA",Accroid Inc,"West Chester, PA",Associate,Onsite
Database Administrator 2,"MongoDB, Data management, High availability, Performance tuning, Backup and recovery, SQL, Java, Python, DevOps, Cloud computing, Data warehousing, Data visualization, Data analysis, Data mining, Machine learning, Artificial intelligence, Agile methodology, Scrum, Kanban","Orion Consortium, LLC","Annapolis Junction, MD",Mid senior,Onsite
PL/SQL developer( Teradata),"Oracle, PL SQL, SQL, GitLab, Unix shell scripting, Agile, MS SQL Server, Teradata, Teradata utilities, Reporting tools, Qlik, Tableau",Radiant Digital,"Freehold, NJ",Mid senior,Onsite
Epic Clarity Data Analyst,"Epic Clarity Data Analyst, Clinical informatics, Data analysis, SQL, Statistical forecasting, Python, R, Project management, Healthcare data extraction, Data visualization, Data reporting, Clinical operations, Clinical outcomes, Statistical methods, Datadriven solutions, User experience design, Agile Development, Written and oral communication, Organizational skills, Analytical skills, Technical abilities, Epic Clarity Data Model certification, Epic Clinical Data Model certification, Certified Health Data Analyst (CHDA) certification",Intellectt Inc,"New Jersey, United States",Mid senior,Onsite
Data Entry Operator,"Data Entry, Data Quality, Data Verification, Data Integrity, Data Standards, Data Security, Microsoft Office Suite, Data Entry Software, Independent Work, Deadline Compliance, DetailOriented, AccuracyOriented, Proficient in Data Entry Software",Ascendo Resources,"Orlando, FL",Associate,Onsite
Database Administrator 2 (TBT - 047),"MongoDB, Database Engineering, Cloud Computing, Failover, Backup and Recovery, Data Analytics, System Engineering, TS/SCI Clearance, Polygraph Clearance",SageCor Solutions,"Annapolis Junction, MD",Mid senior,Onsite
Data Analyst,"Data Analysis, SQL, Excel, Reporting Tools, PowerBI, SSRS, Data Quality Metrics, Insurance, Lloyd's Insurance Market",RED10,"London, England, United Kingdom",Associate,Onsite
Business Analyst - Data Insights,"Data Migration, Data Governance, Data Quality, Data Architecture Design, Business Needs Analysis, Business Requirements Definition, Solution Design, User Stories, Project Tasks, Story Maps, System Requirements, Communication, Stakeholder Management, Analytical Skills, Problem Solving, Reporting, Planning, Organizational Skills, Time Management, Facilitation, EndtoEnd Testing, Change Management, TSQL, Power BI, DAX, Agile Practices, Scrum, Patient Portals, Health Applications, Medical Platforms, Systems Integration, Python, R, Machine Learning",PM-Partners,"Sydney, New South Wales, Australia",Mid senior,Onsite
Data Analyst III,"Data Analysis, Quantitative Insights, Qualitative Research, Gaming, Product Management, Business Intelligence, Strategy, Management Consulting, Mobile Games, Excel, Tableau, SQL, KPIs, Engagement",WinMax,"Cupertino, CA",Associate,Onsite
Data Engineer,"Senior Data Engineer, Informatica, Python, Big Data, Apache Airflow, Advanced SQL, AWS EMR, AWS Glue, Redshift, PySpark, Data Strategy, Data Warehousing, Analytics, AWS Technologies, Redshift, EC2, DynamoDB, Data Pipeline, ETL Pipelines, Data Modeling, Data Warehousing, Operations",People Tech Group Inc,"Redmond, WA",Mid senior,Onsite
Software Engineer II (SwE2) with Azure and Big Data Expertise,"Software Development, C#, .NET, Java, Python, SQL, Azure, Cloud Services, Big Data Technologies, Hadoop, Spark, Azure Data Lake, Azure Data Explorer, Azure Functions, ADLS, Synapse, ETL/ELT Methodologies, Data Models, Data Mining, Partition Design, Data Structures, Algorithms, Distributed Systems, Frontend Development, HTML, CSS, JavaScript, TypeScript, UI Design Principles, Best Practices",Futran Solutions,"Redmond, WA",Mid senior,Onsite
Data Analyst,"Data Analytics, R, SQL, Data Handling, Data Documentation, Genomics, Biomedical Informatics, Scientific Computing, Health Informatics, Epidemiology, Biostatistics, Data Processing, Data Management, Data Curation, Report Writing, Database Administration, Masters Degree in Scientific or Numerate Subject, Academic and/or Industry Background",UK Biobank,"Oxford, England, United Kingdom",Associate,Onsite
QC Data Analyst,"HPLC, GC, Dissolution Testing, Particle Size Analyzer, FTIR (Fourier Transform Infrared) Spectroscopy, pH, Viscosity, TOC (Total Organic Carbon) Testing, Data Interpretation, Data Presentation, Wet Chemistry, Chromatogram Generation, Troubleshooting, Waters Empower, Malvern, Karl Fischer Method, LabVantage LIMS, SOPs, Analytical Testing, LIMS, Chemistry, Biochemistry, Data Analysis, SOPs Tracking and Updating",United Consulting Hub,"Sellersville, PA",Associate,Onsite
Database Manager,"SQL, Database Management, Dataverse, Power BI, Power Apps, Azure, Document Control, Stakeholder Engagement, PHP Runner, SQL Server",Michael Page,"North Yorkshire, England, United Kingdom",Mid senior,Onsite
Product Data Analyst,"Product Data Analysis, Data Quality Monitoring, Securities Reference Data, External Data Providers, Data Integrity, Root Cause Analysis, Data Quality Exceptions, Communication Skills, Organizational Skills, Attention to Detail, Escalation of Risks, Financial Services, Verbal Communication, Written Communication, Teamwork, Learning Agility, Result Orientation, Finance Graduate, Stress Tolerance, Microsoft Office, SQL, Database, Macros",Kellton,"Baltimore, MD",Associate,Onsite
"Lead Software Engineer, Full Stack (Enterprise Data)","Cloud Computing, Agile Practices, Python, Go, Apache Airflow, Apache Spark, Presto, Snowflake, AWS, Distributed Microservices, Full Stack Systems, Software Engineering, Software Development Life Cycle, Configuration Management, Change Management, Code Deployment, Team Leadership, People Management, Enterprise Data Management, Data Security, Regulatory Compliance, Open Source Frameworks",Jobs for Humanity,Buffalo-Niagara Falls Area,Mid senior,Onsite
Lead Data Engineer,"Lead Data Engineer, PySpark, Azure, CI/CD, Data product environment, Cloud experience, Line management",Harnham,"Leeds, England, United Kingdom",Mid senior,Onsite
